local_tuple,external_tuple,relevant,split
"NuvaRing Birth Control ""I was on Nuvaring for just over a year. On September 15, 2016 I was admitted to the hospital for a blood clot in my leg. I do not smoke nor did I do anything to injure myself for this clot to appear. It went to my lung as well. My doctor immediately told me to discontinue the Nuvaring. And I can no longer take anything with hormones in it. Fast forward to the beginning of November, I discovered a lump in my breast. After ultrasounds and mammograms and surgical biopsy, On December 8, 2016, at 34 years old,  I was diagnosed with Invasive Lobular Carcinoma, a type of breast cancer. Just saw my primary doctor today (01/18/2017). She believes the blood clots and the cancer are all related to the Nuvaring. Breast cancer does not run in my family.""","Ethinylestradiol/etonogestrel Ethinylestradiol/etonogestrel, sold under the brand names NuvaRing among others, is a hormonal vaginal ring used for birth control and to improve menstrual symptoms. It contains ethinylestradiol, an estrogen, and etonogestrel, a progestin. It is used by insertion into the vagina. Pregnancy occurs in about 0.3% of women with perfect use and 9% of women with typical use.Common side effects include irregular vaginal bleeding, nausea, sore breasts, vaginitis, mood changes, and headache. Rare but serious side effects may include blood clots, toxic shock syndrome, anaphylaxis, gallstones, and liver problems. Use is not recommended in those who both smoke and are over the age of 35. While use in pregnancy is not recommended, such use has not been found to be harmful to the baby. Use during breastfeeding is typically not recommended as it may decrease the milk supply. It mainly works by decreasing gonadotropins thereby stopping ovulation.The combination was approved for medical use in the United States in 2001. It is available as a generic medication in the United Kingdom. A month supply there costs the NHS about Â£29.70 as of 2019. In the United States the wholesale cost of this amount is about US$468.78. In 2017, it was the 177th most commonly prescribed medication in the United States, with more than three million prescriptions. Lawsuits were filed in the US against Merck alleging it concealed health risks associated with the product. These were settled for $100 million in 2014.",1,dev
"Melatonin Insomnia ""CAUTION with the DOSAGE of this thing. I&#039;ve seen from 0.3mg to 10mg being sold. Got a really BAD headache the next day when taking 1mg before sleep. Also tried the 0.3mg and got sleepy the next day all, yawing all day long

It really &quot;causes&quot; sleep, you&#039;ll feel sleepy, but not relaxed at all. It&#039;s not like a benzodiazepine(alprazolam/clonazepam/etc). If you already feel your eyes dry/red and yawning, you don&#039;t need this! And try the lowest dose you can find. I&#039;m STILL trying to find something lower than 0.3mg because even that dosage seems too much for me. Have been fighting with my &quot;internal clock&quot; since I was a kid.. it seems my brain always want to sleep later and later... and that feeling that I won&#039;t sleep causes me anxiety too""","Melatonin Melatonin is a hormone that regulates the sleepâ_x0080__x0093_wake cycle. It is primarily released by the pineal gland. As a dietary supplement, it is often used for the short-term treatment of trouble sleeping such as from jet lag or shift work. Evidence of benefit, however, is unclear. One review found onset of sleep occurred six minutes faster with use but found no change in total time asleep. It may work as well as the medication ramelteon. It is typically taken by mouth.Side effects from supplements are minimal at low doses for short durations. Side effects may include sleepiness, headaches, nausea, diarrhea, and abnormal dreams. Use is not recommended during pregnancy or breastfeeding. Use is also not recommended in those with liver problems.In animals (including humans), melatonin is involved in synchronizing the circadian rhythm including sleepâ_x0080__x0093_wake timing, blood pressure regulation, and seasonal reproduction. Many of its effects are through activation of the melatonin receptors, while others are due to its role as an antioxidant. In plants it functions to defend against oxidative stress. Melatonin is also present in various foods.Melatonin was discovered in 1958. It is sold over the counter in Canada and the United States; in the United Kingdom it is a prescription-only medication. A month's supply costs about US $1 to 4 in the United States. In the United Kingdom a month's supply costs the NHS about 15 pounds. It is not FDA-approved for any use. In Australia and Europe, it is approved for trouble sleeping in people over the age of 54.",1,dev
"Phentermine Weight Loss ""I have been using phentermine since August 28, 2009. My starting weight was 225lbs.  As of September 14, 2009 I weighed 212 lbs. I have lost 13 lbs so far through the use of phentermine along with proper dieting and exercise.  This is the best thing that has ever happened to me!""","Phentermine Phentermine (phenyl-tertiary-butylamine), sold under the brand name Ionamin among others,  is a medication used together with diet and exercise to treat obesity. It is taken by mouth for up to a few weeks. After a few weeks the beneficial effects no longer occur. It is also available as the combination phentermine/topiramate.Common side effects include a fast heart beat, high blood pressure, trouble sleeping, dizziness, and restlessness. Serious side effects may include pulmonary hypertension, valvular heart disease, and abuse. Use is not recommended during pregnancy or breastfeeding. Use is not recommended together with SSRIs or MAO inhibitors. It works as an appetite suppressant likely as a result of being a CNS stimulant. Chemically, phentermine is a substituted amphetamine.Phentermine was approved for medical use in the United States in 1959. It is available as a generic medication. The wholesale cost of a month supply in the United States is about US$2.55. In 2017, it was the 210th most commonly prescribed medication in the United States, with more than two million prescriptions. Phentermine was withdrawn from the market in the United Kingdom in 2000 while the combination medication fen-phen, of which it was a part, was withdrawn from the market in 1997 due to side effects.",1,dev
"Celebrex Osteoarthritis ""I took 200mg 1 per day, for osteoarthritis in my hands. The pain relief was amazing. I could sleep through the night, and wake rested, and was thrilled to have nearly pain free use of my hands. After 1 week I began to develop an irregular heartbeat. First day, it wasn&#039;t too noticeable, and I was able to ignore the feeling. The irregularity increased, that night it was difficult to sleep. Next day I spoke to the doctor who did an EKG. He said I was having  Premature Ventricular Contractions (PVC). He advised I stop taking the Celebrex immediately. It took 4 days for the PVCs to subside. After waiting 2 weeks, I tried taking Celebrex again. After 3 days, the PVCs returned. Stopped the medicine, PVCs stopped. ""","Celecoxib Celecoxib, sold under the brand name Celebrex among others, is a COX-2 selective nonsteroidal anti-inflammatory drug (NSAID). It is used to treat the pain and inflammation in osteoarthritis, acute pain in adults, rheumatoid arthritis, ankylosing spondylitis, painful menstruation, and juvenile rheumatoid arthritis. It may also be used to decrease the risk of colorectal adenomas in people with familial adenomatous polyposis. It is taken by mouth. Benefits are typically seen within an hour.Common side effects include abdominal pain, nausea, and diarrhea. Serious side effects may include heart attacks, strokes, gastrointestinal perforation, gastrointestinal bleeding, kidney failure, and anaphylaxis. Use is not recommended in people at high risk for heart disease. The risks are similar to other NSAIDs, such as ibuprofen and naproxen. Use in the later part of pregnancy or during breastfeeding is not recommended.Celecoxib was patented in 1993 and came into medical use in 1999. It is available as a generic medication. A month supply in the United Kingdom costs the NHS less than Â£2 as of 2019. In the United States, the wholesale cost of this amount is about $US12.90. In 2011, it was one of Pfizer's best-selling medications, with $2.5 billion in sales. In 2017, it was the 106th most commonly prescribed medication in the United States, with more than seven million prescriptions.",1,dev
"Mirena Birth Control ""I chose Mirena because The Pill became too expensive to buy every month.  I was happy to find out my insurance paid for 100% of the costs!  I only cramped for about two weeks after, and those were very mild, but I don&#039;t have a history of cramps either.  I do not have a period anymore (which is great for saving $ on tampons!) although I do still have some symptoms of PMS each month.  The only downside I have to say about it is that because Mirena doesn&#039;t have the same hormones as The Pill, my acne isn&#039;t being regulated like it was before, but it&#039;s definitely not unmanageable.""","Hormonal_IUDs Intrauterine system (IUS) with progestogen, sold under the brand name Mirena among others, is an intrauterine device that releases the hormone levonorgestrel into the uterus. It is used for birth control, heavy menstrual periods, and to prevent excessive build of the lining of the uterus in those on estrogen replacement therapy. It is one of the most effective forms of birth control with a one-year failure rate around 0.2%. The device is placed in the uterus and lasts three to seven years. Fertility often returns quickly following removal.Side effects include irregular periods, benign ovarian cysts, pelvic pain, and depression. Rarely uterine perforation may occur. Use is not recommended during pregnancy but is safe with breastfeeding. The IUD with progestogen is a type of long-acting reversible birth control. It works by thickening the mucus at the opening of the cervix, stopping the buildup of the lining of the uterus, and occasionally preventing ovulation.The IUD with levonorgestrel was first approved for medical use in 1990 in Finland and in the United States in 2000. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. The wholesale cost in the developing world is about US$122.46 each. In the United Kingdom they cost the NHS about Â£88. In the United States they cost around US$844.00, More than 120 countries have approved the device and it is used by more than 10 million women.",1,dev
"Diclofenac Migraine ""Finally took the sample given to me by my doctor after nothing else was making a dent in my migraine after approximately 12 hours. This worked literally within an hour. Felt wonderful and not at all &quot;fuzzy&quot; headed. Will always be keeping a dose of this on hand with me.""","Diclofenac Diclofenac, sold under the brand name Voltaren among others, is a nonsteroidal anti-inflammatory drug (NSAID) used to treat pain and inflammatory diseases such as gout. It is taken by mouth, used by injection, or applied to the skin. Improvements in pain typically occur within half an hour and last for as much as eight hours. It is also available in combination with misoprostol in an effort to decrease stomach problems.Common side effects include abdominal pain, gastrointestinal bleeding, nausea, dizziness, headache, and swelling. Serious side effects may include heart disease, stroke, kidney problems, and stomach ulceration. Use is not recommended in the third trimester of pregnancy. It is likely safe during breastfeeding. It is believed to work by decreasing the production of prostaglandin. It blocks both cycloxygenase-1 (COX-1) and cycloxygenase-2 (COX-2).Diclofenac was patented in 1965 by Ciba-Geigy; it came into medical use in the United States in 1988. It is available as a generic medication. The wholesale cost in the developing world is generally less than US$2 per month as of 2015. In the United States the wholesale cost of this amount is typically less than US$9 as of 2018. In 2017, it was the 94th most commonly prescribed medication in the United States, with more than eight million prescriptions. It is available as both a sodium and a potassium salt.",1,dev
"Zoloft Panic Disorde ""So far Zoloft has proven to be very helpful. I gave it the rating I did because it&#039;s only been two weeks on it. I have had 2 panic attacks today but so far so good. The Zoloft did keep them from going full blown. It&#039;s like I just all of a sudden began to calm down. I still feel a little anxious but I definitely have energy now. I started out on 25mg and then increased to 50mg the following week. I do have excessive yawning and some fatigue but overall this medicine is awesome. The doctors decided to try me on this because one day I just woke up and began to have panic attacks and they continually got worse. I was on Celexa 20mg which didn&#039;t help at all with anxiety. The reviews on this page definitely gives me hope to continue using  this.""","Sertraline Sertraline, sold under the brand name Zoloft among others, is an antidepressant of the selective serotonin reuptake inhibitor (SSRI) class. It is used to treat major depressive disorder, obsessiveâ_x0080__x0093_compulsive disorder, panic disorder, post-traumatic stress disorder, premenstrual dysphoric disorder, and social anxiety disorder. Sertraline is taken by mouth.Common side effects include diarrhea, sexual dysfunction, and troubles with sleep. Serious side effects include an increased risk of suicide in those less than 25 years old and serotonin syndrome. It is unclear whether use during pregnancy or breastfeeding is safe. It should not be used together with MAO inhibitor medication. Sertraline is believed to work by increasing serotonin effects in the brain.Sertraline was approved for medical use in the United States in 1991 and initially sold by Pfizer. It is available as a generic medication. In the United States, the wholesale cost is about US$1.50 per month as of 2018. In 2016, it was the most commonly prescribed psychiatric medication in the United States, with over 37 million prescriptions. In 2017, it was the 14th most commonly prescribed medication in the United States with over 38 million prescriptions.",1,dev
"BuSpar Anxiety ""I take Lexapro 20mg once daily and 5mg (for now) three times daily. The first week I didn&#039;t notice much at all.. But now that I&#039;ve been taking it for over a week I am starting to notice it&#039;s effects. Most notably when I let it dissolve under my tongue. This medication has no notable side effects. Only downside is its mildly underpowered. To me, Lexapro is the work horse, and Buspar is a helper.""","Buspirone Buspirone, sold under the brand name Buspar among others, is a medication primarily used to treat anxiety disorders, particularly generalized anxiety disorder. Benefits support its short term use. It has not been found to be effective in treating psychosis. It is taken by mouth, and it may take up to four weeks for an effect.Common side effects include nausea, headaches, dizziness, and trouble concentrating. Serious side effects may include hallucinations, serotonin syndrome, and seizures. Use in pregnancy appears to be safe but has not been well studied, while use during breastfeeding is not recommended. How it works is not clear but it is unrelated to benzodiazepines.Buspirone was first made in 1968 and approved for medical use in the United States in 1986. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about Â£10.00 as of 2019. In the United States the wholesale cost of this amount is about US$2.65. In 2017, it was the 80th most commonly prescribed medication in the United States, with more than ten million prescriptions.",1,dev
"Levonorgestrel Birth Control ""I had a Mirena IUD for 5 years.  It was very uncomfortable and I would not recommend it. The removal &quot;string&quot; was like fishing line and jabbed into me all of the time and gave my husband abrasions. To reduce my daily discomfort, my healthcare provider cut the string short which made removal more difficult. I had a greenish weeping discharge that lasted the whole 5 years that made me think I had some kind of wound. I resented my husband the whole time I suffered this device, but I was too busy with work and kids to remember to take birth control pills.  It did prevent pregnancy and not having periods was sort of a bonus. I developed metal sensitivities during that time.  It cost about $500 to have it removed thanks to my husband&#039;s employer.""","Levonorgestrel Levonorgestrel is a hormonal medication which is used in a number of birth control methods. As an emergency birth control, sold under the brand name Plan B among others, it is useful within 120 hours of unprotected sex. The more time that has passed since sex, the less effective the medication becomes, and it does not work after pregnancy (implantation) has occurred. It decreases the chances of pregnancy by 57 to 93%. It is also combined with an estrogen to make combination birth control pills. In an intrauterine device (IUD), such as Mirena among others, it is effective for the long-term prevention of pregnancy. An implantable form of levonorgestrel is also available in some countries.Common side effects include nausea, breast tenderness, headaches, and increased, decreased, or irregular menstrual bleeding. When used as an emergency contraceptive, if pregnancy occurs, there is no evidence that its use harms the baby. It is safe to use during breastfeeding. Birth control that contains levonorgestrel will not change the risk of sexually transmitted infections. It is a progestin and has effects similar to those of the hormone progesterone. It works primarily by preventing ovulation and closing off the cervix to prevent the passage of sperm.Levonorgestrel was patented in 1960 and introduced for medical use together with ethinylestradiol in 1970. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. It is available as a generic medication. The wholesale cost in the developing world is between $0.23 and $1.65 US for the dose required for emergency birth control. In the United States it is over the counter for all ages. In 2016 it was the 223rd most prescribed medication in the United States with more than 2 million prescriptions.",1,dev
"Tessalon Perles Cough ""I was sick for a few days and the constant coughing was making my chest hurt. I thought I had bronchitis or something worse so I ended up going to the ER. The doctor prescribed Tessalon Perle. I figured it was a &quot;magic&quot; pill after hearing about the side effects. Cool! I took one. I did noticed the cough was reduced but still there. I did sleep better that night after taking 1 pill. By the next day, my cough was gone. I did have a lot of green mucus so I took Tylenol severe cold. I did cough but it was to bring up all that mucus. I feel better after 2 days and 4 pill later.""","Benzonatate Benzonatate, sold under the brand name Tessalon among others, is a medication used to try to help with the symptoms of cough and hiccups. It is taken by mouth. Use is not recommended in those under the age of ten. Effects generally begin within 20 minutes and last up to eight hours.Side effects include sleepiness, dizziness, headache, upset stomach, skin rash, hallucinations, and allergic reactions. Excessive doses may cause seizures, irregular heartbeat, and death. Chewing or sucking on the capsule can lead to laryngospasm, bronchospasm, and circulatory collapse. It is unclear if use in pregnancy or breastfeeding is safe. It works by numbing stretch receptors in the lungs and suppressing the cough reflex in the brain.Benzonatate was approved for medical use in the United States in 1958. It is available as a generic medication. In the United States the wholesale cost of is about 0.12 USD per 100 mg dose. It is not available in many countries. In 2017, it was the 148th most commonly prescribed medication in the United States, with more than four million prescriptions.",1,dev
"Zovia Birth Control ""I had to quit this medication because it made me agitated and very paranoid.  I was to the point that I was going to quit my job and was convinced that my family was turning on me.  I stopped and within 1.5 months everything resolved. I am now on Ocella and it works great.""","Birth_control_pill_formulations Birth control pills come in a variety of formulations. The main division is between combined oral contraceptive pills, containing both estrogens and synthetic progestogens (progestins), and progestogen only pills. Combined oral contraceptive pills also come in varying types, including varying doses of estrogen, and whether the dose of estrogen or progestogen changes from week to week.",1,dev
"Copaxone Multiple Sclerosis ""I have been on Copaxone now for 6 weeks.  Started on Tecfidera and that was just a horrible experience so switched to Copaxone three times a week.  I also encountered an Autoject problem and after one week switched to doing the injection manually.  The site reactions are pretty much gone but I do use heat prior and ice post injection to keep whatever reaction occurs to a minimum.  I have only been diagnosed for 3 months now but I have so much more energy than I have had for a very long time so my experience has definitely been positive!""","Glatiramer_acetate Glatiramer acetate (also known as Copolymer 1, Cop-1, or Copaxone) is an immunomodulator medication currently used to treat multiple sclerosis. Glatiramer acetate is approved in the United States to reduce the frequency of relapses, but not for reducing the progression of disability. Observational studies, but not randomized controlled trials, suggest that it may reduce progression of disability. While a conclusive diagnosis of multiple sclerosis requires a history of two or more episodes of symptoms and signs, glatiramer acetate is approved to treat a first episode anticipating a diagnosis. It is also used to treat relapsing-remitting multiple sclerosis. It is administered by subcutaneous injection.
It is a mixture of random-sized peptides that are composed of the four amino acids found in myelin basic protein, namely glutamic acid, lysine, alanine, and tyrosine. Myelin basic protein is the antigen in the myelin sheaths of the neurons that stimulates an autoimmune reaction in people with MS, so the peptide may work as a decoy for the attacking immune cells.",1,dev
"Pregabalin Neuropathic Pain ""I have had neuropathy for some time and tried a host of other medications before trying Lyrics. I was on it for slightly over 3 months with my dosage starting at 75 mg twice a day to 300 twice a day.  Initially the pain was approximately 7-8 and the Lyrics got it to about a 5 routinely with some days worse. However I suffered from some of the side effects stated by it&#039;s manufacturer including dizziness, being off-balance at times, problems with sleep and concentration, and weight gain.  (Approximately 20 pounds over 3 mos. and it&#039;s resulting effect on increasing my A1c.The) worst part was an increase in anger. After no subsiding of the side effects my Doctor suggested I cease using it. We are looking for alternatives.""","Pregabalin Pregabalin, marketed under the brand name Lyrica among others, is a medication used to treat epilepsy, neuropathic pain, fibromyalgia, restless leg syndrome, and generalized anxiety disorder. Its use in epilepsy is as an add-on therapy for partial seizures. When used before surgery, it reduces pain but results in greater sedation and visual disturbances. It is taken by mouth.Common side effects include headache, dizziness, sleepiness, confusion, trouble with memory, poor coordination, dry mouth, problem with vision, and weight gain. Serious side effects may include angioedema, drug misuse, and an increased suicide risk. When pregabalin is taken at high doses over a long period of time, addiction may occur, but if taken at usual doses the risk is low. Use during pregnancy or breastfeeding is of unclear safety. Pregabalin is a gabapentinoid and acts by inhibiting certain calcium channels.Pregabalin was approved for medical use in the United States in 2004. It was developed as a successor to gabapentin. It is available as a generic medication in a number of countries, including the United States as of 2019. In the US the wholesale cost is about US$11 per month as of October 2019. While in the United Kingdom a similar dose costs the NHS about Â£6 as of 2018. In 2017, it was the 72nd most prescribed medication in the United States with more than 11 million prescriptions. In the US, Pregabalin is a Schedule V controlled substance under the Controlled Substances Act of 1970. It is a Class C controlled substance in the UK.",1,dev
"Levonorgestrel Birth Control ""I got my IUD inserted Jan 4 2016, I am 25 and have no children. The implantation was painful but lasted less than 1 min. I did not experience cramping but I do have spotting. I am currently on my 1st period since getting skyla implanted. I&#039;m used to the pretty much non existent periods from my oral contraception. I&#039;m 6 days into my period :( .  Not having to take a pill everyday at the same time and filling a prescription is a plus but I&#039;m so over irregular bleeding. I will give this thing a full 6 months before I consider removing it.""","Levonorgestrel Levonorgestrel is a hormonal medication which is used in a number of birth control methods. As an emergency birth control, sold under the brand name Plan B among others, it is useful within 120 hours of unprotected sex. The more time that has passed since sex, the less effective the medication becomes, and it does not work after pregnancy (implantation) has occurred. It decreases the chances of pregnancy by 57 to 93%. It is also combined with an estrogen to make combination birth control pills. In an intrauterine device (IUD), such as Mirena among others, it is effective for the long-term prevention of pregnancy. An implantable form of levonorgestrel is also available in some countries.Common side effects include nausea, breast tenderness, headaches, and increased, decreased, or irregular menstrual bleeding. When used as an emergency contraceptive, if pregnancy occurs, there is no evidence that its use harms the baby. It is safe to use during breastfeeding. Birth control that contains levonorgestrel will not change the risk of sexually transmitted infections. It is a progestin and has effects similar to those of the hormone progesterone. It works primarily by preventing ovulation and closing off the cervix to prevent the passage of sperm.Levonorgestrel was patented in 1960 and introduced for medical use together with ethinylestradiol in 1970. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. It is available as a generic medication. The wholesale cost in the developing world is between $0.23 and $1.65 US for the dose required for emergency birth control. In the United States it is over the counter for all ages. In 2016 it was the 223rd most prescribed medication in the United States with more than 2 million prescriptions.",1,dev
"Clonazepam Anxiety ""I have had a great experience with Klonopin. It has really saved my life. I tried Buspar and other SSRIs to help with my Anxiety but they never really took care of it. I was in a really bad funk about 6 months ago and the anxiety just kept building up. I went to my psych doc and she prescribed me Klonopin as needed at about 0.5mg a day. It makes me feel good through most days but with increased stress at work I feel I have to take a little more. I say, if it works take it. 10 out of 10 for me. It has given me back my life.""","Clonazepam Clonazepam, sold under the brand Klonopin among others, is a medication used to prevent and treat seizures, panic disorder, and the movement disorder known as akathisia. It is a tranquilizer of the benzodiazepine class. It is taken by mouth. It begins having an effect within 1 hour and lasts between 6 and 12 hours.Common side effects include sleepiness, poor coordination, and agitation. Long-term use may result in tolerance, dependence, and withdrawal symptoms if stopped abruptly. Dependence occurs in one-third of people who take clonazepam for longer than four weeks. There is an increased risk of suicide, particularly in people who are already depressed. If used during pregnancy it may result in harm to the baby. Clonazepam binds to GABAA receptors, thus increasing the effect of the chief inhibitory neurotransmitter Î³-aminobutyric acid (GABA).Clonazepam was patented in 1960 and went on sale in 1975 in the United States from Roche. It is available as a generic medication. The wholesale cost in the developing world is between US$0.01 and US$0.07 per pill. In the United States, the pills are about US$0.40 each. In 2017, it was the 34th most commonly prescribed medication in the United States, with more than 20 million prescriptions. In many areas of the world it is commonly used as a recreational drug.",1,dev
"Nexplanon Birth Control ""I got the nexplanon after I had my daughter in 2014. I bled constant for eight months straight. I then went to sporatic periods (on one week, spot the next, nothing a few days, then BAM back to bleeding)  I have gained 30 pounds on this and can not lose it for the life of me, no diet or exercise regimen will work. Also, I have been battling depression and dissociation off and on since I got it. However,  I haven&#039;t gotten pregnant. So it definitely does it&#039;s job. But I finally am scheduled to get it out next week, one year early. I will not ever get it again. Everyone will react differently.""","Etonogestrel_birth_control_implant Etonogestrel birth control implant, sold under the brand name Nexplanon among others, is a device made up of a single rod containing etonogestrel which is used for birth control. It is one of the most effective forms of birth control with a one-year failure rate around 0.05%. It lasts at least three or four years with some data showing effectiveness for five years. The device is placed under the skin. Following removal fertility quickly returns.Common side effects include menstrual changes including irregular bleeding, with approximately one third of women reporting no menstrual periods.  It is not recommended in people with liver disease. The etonogestrel implant is a type of long-acting reversible birth control. It works by stopping ovulation, thickening the mucus around the opening of the cervix, and altering the lining of the uterus.Etonogestrel implants were approved for medical use in Indonesia in 1998 and in the United States in 2006. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. It is available as a generic medication. The wholesale cost in the developing world is about 8.93 to 13.29 USD. In the United Kingdom the device costs the NHS about 83.43 pounds. The cost in the United States is about 625.00 USD. Etonogestrel implants are approved in more than 90 countries and used by about three million women globally as of 2010.",1,dev
"Escitalopram Anxiety ""Definitely improving my life. I&#039;m less stressed at work and life with the kids is easier.  Some social settings (crowds) still bothersome, but I&#039;m getting there. One of the pages I read warned about caffeine intake, they weren&#039;t kidding. I cut out caffeine and it lessened my mood swings.  Please read about interactions with other medicines when you start something new, it makes a difference!""","Escitalopram Escitalopram, sold under the brand names Cipralex and Lexapro, among others, is an antidepressant of the selective serotonin reuptake inhibitor (SSRI) class. Escitalopram is mainly used to treat major depressive disorder or generalized anxiety disorder. It is taken by mouth.Common side effects include trouble sleeping, nausea, sexual problems, and feeling tired. More serious side effects may include suicide in people under the age of 25. It is unclear if use during pregnancy or breastfeeding is safe. Escitalopram is the (S)-stereoisomer of the earlier medication citalopram, hence the name escitalopram.Escitalopram was approved for medical use in the United States in 2002. In the United States the wholesale cost is about $2.04 per month as of 2017. In the United Kingdom, as of 2018, generic escitalopram is around 1/20th as costly as the proprietary version. Escitalopram is sometimes replaced by twice the dose of citalopram. In 2017, it was the 20th most commonly prescribed medication in the United States with more than 25 million prescriptions.",1,dev
"Paroxetine Anxiety ""Okay so I started taking Paxil a few months ago for anxiety, only 10mg. For the first little bit it was weird, my body felt different and I couldn&#039;t eat much, my bowel movements became very irregular. I felt like it was maybe working. I became very tired (I&#039;ve always been a late sleeper) but it was hard to get out of bed, my thoughts were constantly negative, especially when I would be alone or driving alone. I had a constant headache i didn&#039;t want to do anything. I worked out a little bit in the duration but not much. I Couldn&#039;t decide whether I should stop or take more and I stopped. It&#039;s been about 2 weeks now and I&#039;m starting to feel better and more positive, but still anxious""","Paroxetine Paroxetine, sold under the brand names Paxil and Seroxat among others, is an antidepressant of the selective serotonin reuptake inhibitor (SSRI) class. It is used to treat major depressive disorder, obsessive-compulsive disorder, panic disorder, social anxiety disorder, posttraumatic stress disorder, generalized anxiety disorder and premenstrual dysphoric disorder. It has also been used in the treatment of premature ejaculation and hot flashes due to menopause. It is taken by mouth.Common side effects include drowsiness, dry mouth, loss of appetite, sweating, trouble sleeping, and sexual dysfunction. Serious side effects may include suicide in those under the age of 25, serotonin syndrome, and mania. While the rate of side effects appears similar compared to other SSRIs and SNRIs, antidepressant discontinuation syndromes may occur more often. Use in pregnancy is not recommended while use during breastfeeding is relatively safe. It is believed to work by blocking the re-uptake of the chemical serotonin by neurons in the brain.Paroxetine was approved for medical use in the United States in 1992 and initially sold by GlaxoSmithKline. It is currently available as a generic medication. A month supply in the United Kingdom costs the NHS about Â£1.10 per month as of 2019. In the United States the wholesale cost of this amount is about US$2.40. In 2017, it was the 68th most commonly prescribed medication in the United States, with more than eleven million prescriptions. The United States Department of Justice fined GlaxoSmithKline $3 billion in 2012, for withholding data, unlawfully promoting use in those under 18, and preparing an article that misleadingly reported the effects of paroxetine in adolescent with depression following its clinical trial study 329.",1,dev
"Citalopram Anxiety and Stress ""I have always struggled with anxiety about little things....Thinking I&#039;m dying over something, or wake up worried if I was going to be worried today (i know, not normal). I would get obsessed with something happening to me. I would be worried someone might break in the house and kept the kitchen light on all night. My brain just couldn&#039;t shake things and it would consume me that I felt like I was going crazy. My poor family! I finally agreed to starting meds and my doc started me on celexa. The first few weeks I had anxiety about if the pill was going to work or if I needed to go to a &quot;better&quot; brand but after about 2 months I started feeling like a whole new person, its been 5 months now and I don&#039;t ever want to get off them.""","Citalopram Citalopram, sold under the brand name Celexa among others, is an antidepressant of the selective serotonin reuptake inhibitor (SSRI) class. It is used to treat major depressive disorder, obsessive compulsive disorder, panic disorder, and social phobia. The antidepressant effects may take one to four weeks to occur. It is taken by mouth.Common side effects include nausea, trouble sleeping, sexual problems, shakiness, feeling tired, and sweating. Serious side effects include an increased risk of suicide in those under the age of 25, serotonin syndrome, glaucoma, and QT prolongation. It should not be used in someone on a MAO inhibitor. Antidepressant discontinuation syndrome may occur when stopped. There are concerns that use during pregnancy may harm the baby.Citalopram was approved for medical use in the United States in 1998. It is available as a generic medication. In the United Kingdom, a typical dose costs the NHS less than 20 GBP per month. In the United States, it costs 50 to 100 USD per month as of 2016. In 2017, it was the 26th most commonly prescribed medication in the United States, with more than 24 million prescriptions.",1,dev
"Miconazole Vaginal Yeast Infection ""This is unbelievable!  I&#039;ve used OTC medicines before, but usually bought store brand.  I&#039;ve never bought Monistat before because of the higher price.  But, I&#039;m really sick, and my husband has my car for business, and the nearest store is 4 miles, so I ordered what I felt I had to from Amazon same day delivery.  I am just shocked!  It started itching within a few seconds after insertion.  I had some leftover cream from previous purchases (I&#039;m a medicine hoarder lol) and that helps around the outside, but the inside is so itchy and painful I can&#039;t stand it.  I swear, my uterus is starting to ache and cramp right now as we speak.  What is happening?  I thought someone at the factory had possibly tampered with my medicine!  DO NOT BUY THIS!!!!""","Miconazole Miconazole, sold under the brand name Monistat among others, is an antifungal medication used to treat ring worm, pityriasis versicolor, and yeast infections of the skin or vagina. It is used for ring worm of the body, groin (jock itch), and feet (athlete's foot). It is applied to the skin or vagina as a cream or ointment.Common side effects include itchiness or irritation of the area in which it was applied. Use in pregnancy is believed to be safe for the baby. Miconazole is in the imidazole family of medications. It works by decreasing the ability of fungi to make ergosterol, an important part of their cell membrane.Miconazole was patented in 1968 and approved for medical use in 1971. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. The wholesale cost in the developing world is about US$0.23 to US$0.60 for a 30 gram tube. In the United States a course of treatment costs less than US$25.",1,dev
